그룹명,앨범명,발매일,직전_초동_판매량
&TEAM,First Howling : ME,2022-12-06,
&TEAM,First Howling : WE,2023-06-13,
&TEAM,First Howling : NOW,2023-11-15,153659
&TEAM,Samidare - Single,2024-05-08,150000
&TEAM,Aoarashi - Single,2024-08-07,440615
&TEAM,Jyuugoya - Single,2024-10-23,461863
&TEAM,Yukiakari,2024-12-18,
&TEAM,Go in Blind - EP,2025-04-21,20056
&TEAM,Back to Life,2025-10-28,620541
&TEAM,We on Fire,2026-04-12,1222022
AHOF,WHO WE ARE,2025-07-01,
AHOF,The Passage,2025-11-04,360985
ALLDAY PROJECT,FAMOUS - Single,2025-06-23,
ALLDAY PROJECT,ALLDAY PROJECT - EP,2025-12-08,
AMPERSAND ONE,AMPERSAND ONE,2023-11-15,
AMPERSAND ONE,ONE HEARTED,2024-03-26,60000
AMPERSAND ONE,ONE QUESTION,2024-10-22,54000
AMPERSAND ONE,WILD & FREE,2025-04-08,60600
AMPERSAND ONE,LOUD & PROUD,2025-08-12,67000
AMPERSAND ONE,DEFINITION,2026-04-08,108000
ATEEZ,ZERO : FEVER Part.3,2021-09-13,
ATEEZ,ZERO : FEVER EPILOGUE,2021-12-10,665350
ATEEZ,THE WORLD EP.1 : MOVEMENT,2022-07-29,344612
ATEEZ,THE WORLD EP.PARADIGM,2022-11-30,936055
ATEEZ,SPIN OFF : FROM THE WITNESS,2022-12-30,64000
ATEEZ,THE WORLD EP.2 : OUTLAW,2023-06-16,353604
ATEEZ,THE WORLD EP.FIN : WILL,2023-12-01,1521275
ATEEZ,GOLDEN HOUR : Part.1,2024-05-31,
ATEEZ,GOLDEN HOUR : Part.2,2024-11-15,
ATEEZ,GOLDEN HOUR : Part.3,2025-06-13,1416444
ATEEZ,GOLDEN HOUR : Part.3 'In Your Fantasy Edition',2025-07-11,610000
ATEEZ,Ash,2025-09-16,582741
ATEEZ,GOLDEN HOUR : Part.4,2026-02-06,116000
BABYMONSTER,SHEESH,2024-04-01,
BABYMONSTER,DRIP,2024-11-01,
BABYMONSTER,WE GO UP,2025-10-10,
BABYMONSTER,춤 (CHOOM),2026-05-04,
BSS,SECOND WIND,2023-02-06,
BSS,TELEPARTY,2025-01-08,
CLOSE YOUR EYES,ETERNALT,2025-04-02,
CLOSE YOUR EYES,Snowy Summer,2025-07-09,316047
CLOSE YOUR EYES,blackout,2025-11-11,308179
CRAVITY,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,2020-04-14,
CRAVITY,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,
CRAVITY,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,
CRAVITY,CRAVITY 1ST ALBUM PART 1 [The Awakening: Written In The Stars],2021-08-19,74020
CRAVITY,CRAVITY 1ST ALBUM PART 2 [LIBERTY : IN OUR COSMOS],2022-03-22,109123
CRAVITY,VIVID,2022-05-31,114318
CRAVITY,NEW WAVE,2022-09-27,116312
CRAVITY,MASTER : PIECE,2023-03-06,113086
CRAVITY,Cheese,2023-09-01,
CRAVITY,SUN SEEKER,2023-09-11,273714
CRAVITY,Dilly Dally,2023-12-06,273714
CRAVITY,EVERSHINE,2024-02-26,45000
CRAVITY,FIND THE ORBIT,2024-12-05,
CRAVITY,Dare to Crave,2025-06-23,
CRAVITY,Dare to Crave:Epilogue,2025-11-11,25000
CRAVITY,ReDeFINE,2026-04-29,
DAY6,The Book of Us : Negentropy - Chaos swallowed up in love,2021-04-19,
DAY6,Fourever,2024-03-18,73668
DAY6,Band Aid,2024-09-02,136816
DAY6,The DECADE,2025-09-05,
DOYOUNG,YOUTH - The 1st Album,2024-04-22,
DOYOUNG,Soar - The 2nd Album,2025-06-09,
DOYOUNG,Promise,2025-12-09,401039
Dragon Pony,POP UP,2024-09-26,
Dragon Pony,Not Out,2025-03-19,1828
Dragon Pony,RUN RUN RUN,2026-03-10,
HAECHAN,TASTE - The 1st Album,2025-09-08,
Hearts2Hearts,The Chase,2025-02-24,
Hearts2Hearts,FOCUS - The 1st Mini Album,2025-10-20,
IDID,I did it.,2025-09-15,
IDID,It's Me,2026-04-30,
IDID,FLY!,2026-05-27,
ILLIT,Magnetic,2024-03-25,
ILLIT,Lucky Girl Syndrome,2024-04-16,380056
ILLIT,I'LL LIKE YOU,2024-10-21,380000
ILLIT,Billyeoon Goyangi (Do the Dance),2025-06-16,
ILLIT,jellyous,2025-07-07,401674
ILLIT,時よ止まれ,2025-08-31,400000
ILLIT,NOT CUTE ANYMORE,2025-11-24,401600
ITZY,GUESS WHO,2021-04-30,
ITZY,CRAZY IN LOVE,2021-09-24,200130
ITZY,Voltage,2022-04-06,259705
ITZY,CHECKMATE,2022-07-15,47883
ITZY,CHESHIRE,2022-11-30,
ITZY,KILL MY DOUBT,2023-07-31,632248
ITZY,RINGO,2023-10-18,823742
ITZY,BORN TO BE,2024-01-08,34000
ITZY,GOLD,2024-10-15,
ITZY,Girls Will Be Girls,2025-06-09,438713
ITZY,TUNNEL VISION - EP,2025-11-10,
ITZY,Motto,2026-05-18,387278
JISOO,ME,2023-03-31,
JISOO,AMORTAGE,2025-02-14,1172351
KickFlip,"Flip it, Kick it!",2025-01-20,
KickFlip,"Kick Out, Flip Now!",2025-05-26,276881
KickFlip,My First Flip,2025-09-22,340655
KickFlip,Twenty,2026-03-09,402405
KickFlip,My First Kick,2026-04-06,456167
KiiiKiiI,UNCUT GEM,2025-03-24,206703
KiiiKiiI,BTG,2025-03-24,
KiiiKiiI,Delulu Pack,2026-01-26,
LE SSERAFIM,ANTIFRAGILE,2022-10-17,307450
LE SSERAFIM,UNFORGIVEN,2023-05-01,222286
LE SSERAFIM,UNFORGIVEN (Japanese ver.),2023-08-08,1258001
LE SSERAFIM,EASY,2024-02-19,
LE SSERAFIM,CRAZY,2024-08-30,989268
LE SSERAFIM,SPAGHETTI,2025-10-24,555348
LE SSERAFIM,BOOMPALA,2026-05-22,
LUCY,PANORAMA,2020-08-13,
LUCY,Snooze,2020-11-12,851
LUCY,INSIDE,2021-02-16,1900
LUCY,Gatcha!,2021-06-16,2933
LUCY,BLUE,2021-12-07,
LUCY,Childhood,2022-08-17,14787
LUCY,INSERT COIN,2023-02-23,36014
LUCY,Fever,2023-08-17,
LUCY,Boogie Man,2023-12-05,47205
LUCY,FROM.,2024-08-14,
LUCY,WAJANGCHANG,2025-04-23,
LUCY,Sunflower,2025-10-30,64810
LUCY,Childish,2026-04-29,59051
MARK,The Firstfruit - The 1st Album,2025-04-07,
MEOVV,MEOW,2024-09-06,
MEOVV,TOXIC,2024-11-18,212000
MEOVV,MY EYES OPEN VVIDE,2025-05-12,
MEOVV,BITE NOW,2026-06-02,
MONSTA X,WANTED,2021-03-10,
MONSTA X,Flavors of love,2021-05-05,35147
MONSTA X,One of a Kind,2021-06-01,20312
MONSTA X,NO LIMIT,2021-11-19,
MONSTA X,The Dreaming,2021-12-10,283215
MONSTA X,SHAPE of LOVE,2022-04-26,2162
MONSTA X,If with U,2022-07-07,321531
MONSTA X,REASON,2023-01-09,1849
MONSTA X,THE X,2025-09-01,326503
NEXZ,Ride the Vibe,2024-05-20,
NEXZ,NALLINA,2024-11-18,117817
NEXZ,O-RLY?,2025-04-28,100989
NEXZ,One Bite,2025-07-16,
NEXZ,Beat-Boxer,2025-10-27,
NEXZ,Mmchk,2026-04-27,338916
NMIXX,AD MARE,2022-02-22,
NMIXX,ENTWURF,2022-09-19,227399
NMIXX,expérgo,2023-03-20,442207
NMIXX,A Midsummer NMIXX’s Dream,2023-07-11,630811
NMIXX,Fe3O4: BREAK,2024-01-15,1030541
NMIXX,Fe3O4: STICK OUT,2024-08-19,
NMIXX,Fe3O4: FORWARD,2025-03-17,585717
NMIXX,Blue Valentine,2025-10-13,702876
NMIXX,Heavy Serenade,2026-05-11,
P1Harmony,DISHARMONY : STAND OUT,2020-10-28,
P1Harmony,DISHARMONY : BREAK OUT,2021-04-20,4570
P1Harmony,DISHARMONY : FIND OUT,2022-01-03,27282
P1Harmony,HARMONY : ZERO IN,2022-07-20,
P1Harmony,HARMONY : SET IN,2022-11-30,104085
P1Harmony,HARMONY : ALL IN,2023-06-08,
P1Harmony,Killin' It,2024-02-05,
P1Harmony,SAD SONG,2024-09-20,207413
P1Harmony,DUH!,2025-05-08,335930
P1Harmony,UNIQUE,2026-03-12,
RIIZE,Get A Guitar,2023-09-04,
RIIZE,RIIZING - The 1st Mini Album,2024-06-17,
RIIZE,Lucky,2024-07-29,1255015
RIIZE,ODYSSEY - The 1st Album,2025-05-19,273641
RIIZE,Fame,2025-11-24,1797267
RIIZE,All of You,2026-02-18,667616
SHINee,Don't Call Me - The 7th Album,2021-02-22,
SHINee,Atlantis - The 7th Album Repackage,2021-04-12,127208
SHINee,SUPERSTAR,2021-07-28,74099
SHINee,HARD - The 8th Album,2023-06-26,73975
SHINee,Poet | Artist,2025-05-25,206574
SHINee,Atmos - The 6th Mini Album - EP,2026-06-01,216594
SUPER JUNIOR,The Renaissance - The 10th Album,2021-03-16,
SUPER JUNIOR,The Road : Winter for Spring,2022-02-28,260479
SUPER JUNIOR,The Road : Keep on Going - The 11th Album Vol.1,2022-07-12,101195
SUPER JUNIOR,The Road : Celebration - The 11th Album Vol.2,2022-12-15,120322
SUPER JUNIOR,Super Junior25 - The 12th Album,2025-07-08,
THE BOYZ,THE BOYZ 6TH MINI ALBUM [THRILL-ING],2021-08-09,212666
THE BOYZ,THE BOYZ 3rd Single Album [MAVERICK],2021-11-01,523630
THE BOYZ,"Echo [From ""Solo Leveling"" (Original Soundtrack)]",2022-03-02,489662
THE BOYZ,SHE'S THE BOSS,2022-05-27,10148
THE BOYZ,THE BOYZ 7TH MINI ALBUM [BE AWARE],2022-08-16,44400
THE BOYZ,THE BOYZ 8th MINI ALBUM [BE AWAKE],2023-02-20,
THE BOYZ,Delicious,2023-06-13,415906
THE BOYZ,THE BOYZ 2ND ALBUM [PHANTASY] Pt.1 Christmas In August,2023-08-07,26000
THE BOYZ,THE BOYZ 2ND ALBUM [PHANTASY] Pt.2 Sixth Sense,2023-11-20,333244
THE BOYZ,THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter,2024-03-18,
THE BOYZ,THE BOYZ 9th MINI ALBUM [導火線 (TRIGGER)],2024-10-28,
THE BOYZ,Unexpected,2025-03-17,566461
THE BOYZ,THE BOYZ The 10th Mini Album [a;eﬀect],2025-07-28,743255
TREASURE,THE FIRST STEP : CHAPTER TWO,2020-09-18,
TREASURE,THE FIRST STEP : CHAPTER THREE,2020-11-06,169586
TREASURE,THE FIRST STEP : TREASURE EFFECT,2021-01-11,171773
TREASURE,THE SECOND STEP : CHAPTER ONE,2022-02-15,
TREASURE,THE SECOND STEP : CHAPTER TWO,2022-10-04,539279
TREASURE,REBOOT,2023-07-28,402540
TREASURE,SPECIAL MINI ALBUM [PLEASURE],2025-03-07,
TREASURE,3rd MINI ALBUM [LOVE PULSE],2025-09-01,716697
TREASURE,4th MINI ALBUM [NEW WAV],2026-06-01,1131346
TWICE,Kura Kura,2021-05-12,88000
TWICE,Taste of Love,2021-06-11,109245
TWICE,Perfect World,2021-07-28,277531
TWICE,Formula of Love: O+T=<3,2021-11-12,
TWICE,Doughnut,2021-12-15,318840
TWICE,Celebrate,2022-07-27,
TWICE,BETWEEN 1&2,2022-08-26,130000
TWICE,READY TO BE,2023-03-10,
TWICE,Hare Hare,2023-05-31,651205
TWICE,With YOU-th,2024-02-23,
TWICE,DIVE,2024-07-17,1063615
TWICE,STRATEGY,2024-12-06,181000
TWICE,THIS IS FOR,2025-07-11,729581
TWICE,ENEMY,2025-08-27,609415
TWICE,TEN: The Story Goes On,2025-10-10,103248
TWS,Sparkling Blue,2024-01-22,
TWS,SUMMER BEAT!,2024-06-24,260881
TWS,Last Bell,2024-11-25,513892
TWS,TRY WITH US,2025-04-21,456504
TWS,はじめまして,2025-06-30,558720
TWS,play hard,2025-10-13,
TWS,TWS 5th Mini Album 'NO TRAGEDY' - EP,2026-04-27,639787
WayV,Awaken The World - The 1st Album,2020-06-09,
WayV,Kick Back - The 3rd Mini Album,2021-03-10,
WayV,Phantom - The 4th Mini Album,2022-12-28,
WayV,On My Youth - The 2nd Album,2023-11-01,120486
WayV,Give Me That - The 5th Mini Album,2024-06-03,337634
WayV,The Highest,2024-08-08,340744
WayV,FREQUENCY - The 6th Mini Album,2024-11-25,62748
WayV,BIG BANDS - The 7th Mini Album,2025-07-18,351951
WayV,白色定格 (Eternal White) - Winter Special Album,2025-12-08,301600
Xdinary Heroes,"Hello, world!",2022-07-20,
Xdinary Heroes,Overload,2022-11-11,22380
Xdinary Heroes,Deadlock,2023-04-26,52857
Xdinary Heroes,Livelock,2023-10-11,68786
Xdinary Heroes,Troubleshooting,2024-04-30,
Xdinary Heroes,LIVE and FALL,2024-10-14,
Xdinary Heroes,Beautiful Mind,2025-03-24,45209
Xdinary Heroes,LXVE to DEATH,2025-10-24,
Xdinary Heroes,DEAD AND,2026-04-17,
izna,N/a,2024-11-25,
izna,BEEP,2025-06-09,
izna,Not Just Pretty,2025-09-30,
izna,SET THE TEMPO,2026-06-08,
xikers,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,
xikers,HOUSE OF TRICKY : HOW TO PLAY,2023-08-02,
xikers,HOUSE OF TRICKY : Trial And Error,2024-03-08,
xikers,HOUSE OF TRICKY : WATCH OUT,2024-09-06,
xikers,HOUSE OF TRICKY : SPUR,2025-04-04,
xikers,HOUSE OF TRICKY : WRECKING THE HOUSE,2025-10-31,
xikers,OKay,2026-05-19,
