그룹명,앨범명,발매일,유튜브_티저_조회수,유튜브_티저_댓글수,유튜브_티저_좋아요수
&TEAM,First Howling : NOW,2023-11-15,400000,2120,40000
&TEAM,Samidare - Single,2024-05-08,220000,1360,21000
&TEAM,Aoarashi - Single,2024-08-07,260000,1838,24000
&TEAM,Jyuugoya - Single,2024-10-23,,,
&TEAM,Go in Blind - EP,2025-04-21,210000,1376,20000
&TEAM,Back to Life,2025-10-28,81400000,1954,22000
&TEAM,We on Fire,2026-04-12,270000,1721,32000
AHOF,The Passage,2025-11-04,1578499,4146,30000
AMPERSAND ONE,ONE HEARTED,2024-03-26,18000,11,2000
AMPERSAND ONE,ONE QUESTION,2024-10-22,3300,26,650
AMPERSAND ONE,WILD & FREE,2025-04-08,670000,95,1400
AMPERSAND ONE,LOUD & PROUD,2025-08-12,430000,109,1400
AMPERSAND ONE,DEFINITION,2026-04-08,582388,148,2200
ATEEZ,ZERO : FEVER EPILOGUE,2021-12-10,520000,6773,100000
ATEEZ,THE WORLD EP.1 : MOVEMENT,2022-07-29,700000,5129,120000
